# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
7.5e-07 -4e-06 1
# Elapsed time: 2299.66 ms
7.5e-07 -3.75e-06 1
# Elapsed time: 2280.17 ms
7.5e-07 -3.5e-06 1
# Elapsed time: 2280.18 ms
7.5e-07 -3.25e-06 1
# Elapsed time: 2286.03 ms
7.5e-07 -3e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -2.75e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -2.5e-06 1
# Elapsed time: 2283.76 ms
7.5e-07 -2.25e-06 1
# Elapsed time: 2280.18 ms
7.5e-07 -2e-06 1
# Elapsed time: 2280.15 ms
7.5e-07 -1.75e-06 1
# Elapsed time: 2280.17 ms
7.5e-07 -1.5e-06 1
# Elapsed time: 2299.14 ms
7.5e-07 -1.25e-06 1
# Elapsed time: 2280.16 ms
7.5e-07 -9.99999e-07 1
# Elapsed time: 2280.17 ms
7.5e-07 -7.49999e-07 1
